"filename", "language", "JSON", "Markdown", "YAML", "JavaScript", "Shell Script", "HTML", "Vue", "CSS", "comment", "blank", "total"
"/Users/admin/code/vue-router/docs/en/api/alias.md", "Markdown", 0, 18, 0, 0, 0, 0, 0, 0, 0, 12, 30
"/Users/admin/code/vue-router/docs/en/api/before-each.md", "Markdown", 0, 31, 0, 0, 0, 0, 0, 0, 0, 14, 45
"/Users/admin/code/vue-router/docs/en/api/go.md", "Markdown", 0, 24, 0, 0, 0, 0, 0, 0, 0, 15, 39
"/Users/admin/code/vue-router/docs/en/api/map.md", "Markdown", 0, 39, 0, 0, 0, 0, 0, 0, 0, 13, 52
"/Users/admin/code/vue-router/docs/en/api/on.md", "Markdown", 0, 15, 0, 0, 0, 0, 0, 0, 0, 8, 23
"/Users/admin/code/vue-router/docs/en/api/properties.md", "Markdown", 0, 11, 0, 0, 0, 0, 0, 0, 0, 11, 22
"/Users/admin/code/vue-router/docs/en/api/redirect.md", "Markdown", 0, 19, 0, 0, 0, 0, 0, 0, 0, 12, 31
"/Users/admin/code/vue-router/docs/en/api/replace.md", "Markdown", 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 10
"/Users/admin/code/vue-router/docs/en/api/start.md", "Markdown", 0, 11, 0, 0, 0, 0, 0, 0, 0, 10, 21
"/Users/admin/code/vue-router/docs/en/api/stop.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 6
"/Users/admin/code/vue-router/docs/en/basic.md", "Markdown", 0, 55, 0, 0, 0, 0, 0, 0, 2, 16, 73
"/Users/admin/code/vue-router/docs/en/installation.md", "Markdown", 0, 29, 0, 0, 0, 0, 0, 0, 0, 16, 45
"/Users/admin/code/vue-router/docs/en/lazy.md", "Markdown", 0, 49, 0, 0, 0, 0, 0, 0, 0, 15, 64
"/Users/admin/code/vue-router/docs/en/link.md", "Markdown", 0, 46, 0, 0, 0, 0, 0, 0, 4, 30, 80
"/Users/admin/code/vue-router/docs/en/named.md", "Markdown", 0, 19, 0, 0, 0, 0, 0, 0, 0, 8, 27
"/Users/admin/code/vue-router/docs/en/nested.md", "Markdown", 0, 67, 0, 0, 0, 0, 0, 0, 0, 13, 80
"/Users/admin/code/vue-router/docs/en/options.md", "Markdown", 0, 44, 0, 0, 0, 0, 0, 0, 0, 34, 78
"/Users/admin/code/vue-router/docs/en/pipeline/README.md", "Markdown", 0, 27, 0, 0, 0, 0, 0, 0, 0, 27, 54
"/Users/admin/code/vue-router/docs/en/pipeline/activate.md", "Markdown", 0, 12, 0, 0, 0, 0, 0, 0, 0, 10, 22
"/Users/admin/code/vue-router/docs/en/pipeline/can-activate.md", "Markdown", 0, 15, 0, 0, 0, 0, 0, 0, 0, 13, 28
"/Users/admin/code/vue-router/docs/en/pipeline/can-deactivate.md", "Markdown", 0, 15, 0, 0, 0, 0, 0, 0, 0, 13, 28
"/Users/admin/code/vue-router/docs/en/pipeline/can-reuse.md", "Markdown", 0, 11, 0, 0, 0, 0, 0, 0, 0, 11, 22
"/Users/admin/code/vue-router/docs/en/pipeline/data.md", "Markdown", 0, 107, 0, 0, 0, 0, 0, 0, 0, 37, 144
"/Users/admin/code/vue-router/docs/en/pipeline/deactivate.md", "Markdown", 0, 12, 0, 0, 0, 0, 0, 0, 0, 10, 22
"/Users/admin/code/vue-router/docs/en/pipeline/hooks.md", "Markdown", 0, 101, 0, 0, 0, 0, 0, 0, 0, 42, 143
"/Users/admin/code/vue-router/docs/en/route.md", "Markdown", 0, 71, 0, 0, 0, 0, 0, 0, 0, 37, 108
"/Users/admin/code/vue-router/docs/en/view.md", "Markdown", 0, 9, 0, 0, 0, 0, 0, 0, 0, 5, 14
"/Users/admin/code/vue-router/docs/ja/README.md", "Markdown", 0, 31, 0, 0, 0, 0, 0, 0, 0, 3, 34
"/Users/admin/code/vue-router/docs/ja/SUMMARY.md", "Markdown", 0, 31, 0, 0, 0, 0, 0, 0, 0, 3, 34
"/Users/admin/code/vue-router/docs/ja/api/README.md", "Markdown", 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/admin/code/vue-router/docs/ja/api/after-each.md", "Markdown", 0, 15, 0, 0, 0, 0, 0, 0, 0, 11, 26
"/Users/admin/code/vue-router/docs/ja/api/alias.md", "Markdown", 0, 18, 0, 0, 0, 0, 0, 0, 0, 12, 30
"/Users/admin/code/vue-router/docs/ja/api/before-each.md", "Markdown", 0, 31, 0, 0, 0, 0, 0, 0, 0, 14, 45
"/Users/admin/code/vue-router/docs/ja/api/go.md", "Markdown", 0, 24, 0, 0, 0, 0, 0, 0, 0, 15, 39
